AIRPORT_SEQ_ID;ID;AIRPORT;DISPLAY_AIRPORT_NAME;AIRPORT_COUNTRY_CODE_ISO;AIRPORT_STATE_NAME;LATITUDE;LONGITUDE;AIRPORT_IS_CLOSED
1364301;13643;NDR;El Aroui International;MA;;34.98916667;-3.02777778;0
1364407;13644;NDZ;Nordholz-Spieka;DE;;53.76888889;8.64222222;0
1364505;13645;NE1;Gothenburg Municipal;US;Nebraska;40.92555556;-100.1466667;0
1364602;13646;NE2;Blair Municipal;US;Nebraska;41.41472222;-96.10888889;0
1364701;13647;NEA;Glynco NAS;US;Georgia;31.25055556;-81.47611111;1
1364805;13648;NEG;Negril Airport;JM;;18.34194444;-78.33416667;0
1365002;13650;NEL;Lakehurst/Maxfield Field;US;New Jersey;40.035;-74.35222222;0
1365101;13651;NER;Neryungri Airport;RU;;56.9;124.8833333;0
1365201;13652;NET;New Bight Airport;BS;;24.31527778;-75.45416667;1
1365306;13653;NEU;Samneua;LA;;20.41833333;104.0661111;0
1365407;13654;NEV;Vance Winkworth Amory;KN;;17.20555556;-62.59;0
1365502;13655;NEW;Lakefront;US;Louisiana;30.0425;-90.02833333;0
1365602;13656;NFL;Fallon NAS;US;Nevada;39.41777778;-118.6986111;0
1365702;13657;NGA;Young Airport;AU;;-34.25555556;148.2480556;0
1365801;13658;NGB;Lishe;CN;;29.82666667;121.4619444;0
1365901;13659;NGC;North Rim;US;Arizona;36.18333333;-112.1333333;0
1366006;13660;NGD;Auguste George;VG;;18.7275;-64.32888889;0
1366102;13661;NGE;N'Gaoundere Airport;CM;;7.35694444;13.55916667;0
1366201;13662;NGF;Kaneohe Bay MCAS;US;Hawaii;21.45055556;-157.7680556;0
1366302;13663;NGM;Agana NAS;US;U.S. Pacific Trust Territories and Possessions;13.44972222;144.75;0
1366403;13664;NKM;Nagoya Airport;JP;;35.25555556;136.9244444;0
1366502;13665;NGP;Corpus Christi NAS;US;Texas;27.69277778;-97.29027778;0
1366605;13666;NGS;Nagasaki Airport;JP;;32.91694444;129.9133333;0
1366705;13667;NGU;Norfolk NS;US;Virginia;36.9375;-76.28916667;0
1366801;13668;NGZ;Alameda NAS;US;California;37.79055556;-122.3255556;1
1366905;13669;NHA;Nha Trang;VN;;12.2275;109.1922222;1
1367003;13670;NHD;Minhad AB;AE;;25.02694444;55.36638889;0
1367105;13671;NHK;Patuxent River NAS;US;Maryland;38.28638889;-76.41;0
1367205;13672;NHT;RAF Northolt;GB;;51.55277778;-0.41972222;0
1367301;13673;NHV;Nuku Hiva Fr.Poly.;PF;;-8.78333333;-140.1666667;0
1367405;13674;NHZ;Brunswick Executive;US;Maine;43.89222222;-69.93888889;0
